(Do Not Modify) SPEX attendees,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,first_name,surname,company,Status Reason,whole tables booked
205b6c6d-d9c6-f011-bbd2-7c1e5203c76f,F841n/p3rWE9fg+d6MwSKONJhIUs6cPGXo2QazSx0g2kTLa42FNav1ZcwAXQ4D3MbjmSAQHDZQ5FA7WJB1J9vA==,21/11/2025 12:56,Aaron,Banham,Northgate Solutions Ltd,Active,0
08d098b9-d4c6-f011-bbd2-7c1e5203c76f,LIv/guryM2RePQc+Ps50SKb2zCwoYE3Y6Eww1uYCQfOBHskWWxEVNEpw1JpEh5/TMgX3YKm51DGRwgaX/fOeIg==,21/11/2025 12:22,Abbie,Bradley,Blue Peak Consulting,Active,0
99ac2f3c-ccc6-f011-bbd2-0022483fad4e,a+M2qcBSiuAaautkBU1uVkb4qSPWxCW2SoghKUk4rU3eakkA46LeAA3BPJy8yzm2UD2mMwdZuJ98YehdRQ+eHw==,21/11/2025 11:21,Alex,Page,Everfield Technologies,Active,0
77d7dbed-d8c6-f011-bbd2-7c1e5203c76f,pItp8SGS5xjeevFV5Xjl6UiBeN/xMP2RlZ3eWZbLaSroUbvWWya6aIEvunjY89fPSR+bVgxNxzlags98HKhasg==,21/11/2025 12:52,Ana,Michels,Redwood Analytics,Active,0
008376ed-d6c6-f011-bbd2-7c1e5203c76f,mF2XH4yop1IDI3D+Ao0msqqR3u2DuVgzR7uxV2NDrNBQN4pjKjPhlsNh9gyZpguN1wBlpGjxNfVSkesZ4K+NKQ==,21/11/2025 12:38,Ben,Gallier,Silverline Media Group,Active,0
e2c513e6-d4c6-f011-bbd2-7c1e5203c76f,PRIlXPwTwE8VAQcXLSDDNUmNyVj6SfhlBnM+CKuqt1STFWOmi46qgBh+dzm1ANa2tj4dXJgoGMVJwzf7V70Rqg==,21/11/2025 12:23,Caillen,Chapman,Oakbridge Systems,Active,0
1fb288b3-d4c6-f011-bbd2-7c1e5203c76f,bb3yFVCerD2ZBsVRPgQnykOEb1MrU2+pwYnVPuAnbczqCEsFio+k0lXbEX+5dLppQkQECIKB+b5AlkP6gKy7QQ==,21/11/2025 12:22,Carly,Robertson,Blue Peak Consulting,Active,0
10938df9-d6c6-f011-bbd2-7c1e5203c76f,cFlXkMAjQk2n/zlFsxuRVthrK5gxU09REgqVsKyJ+NlJHFh2rftP0COB+dduqkrBKwAUiSCNKERnBo3Yr2fMqQ==,21/11/2025 12:38,Caroline,Dixon,Silverline Media Group,Active,0
f5964992-cbc6-f011-bbd2-7ced8d9956d1,rqrCgxEsXMz4a5QJiaajO5Ep9fU1UB41iHbaBiKmvFupie7TPy+OW+Ctb3yZ9kxAbAfNv1yJNJ7olP7KjdJmcQ==,21/11/2025 11:16,Catherine,Hulme,Horizon Data Services,Active,0
99c11f49-ccc6-f011-bbd2-0022483fad4e,CbIeFY26L2+t0LJs8hTSj61UN/odAdGZ5Zxbw668K5udYne1HJbBt47HTiI57zQXEeLb9eeEriBDObKecItmgg==,21/11/2025 11:21,Chester,Frietas,Everfield Technologies,Active,0
4ccb7471-cac6-f011-bbd2-7ced8d9956d1,FNV8JDMBV3kqHQ8F12H6vDZOalxyKF/vW78TtzD+sz1yyh4nfKt1McaHV4x7CiNxFjjftufDN3e+JDTUA5OIGQ==,21/11/2025 11:08,Clare,Wilson,Pioneer Logistics Ltd,Active,0
9262a217-d5c6-f011-bbd2-7c1e5203c76f,Wu8NJw7RXSQTUfuNtAmq6xE5hzEqqsWUCZhqbWAkwN2I9GLVGOLQ1pVtmmnJghaIwEpw3E+e3hnLROupyXYZfA==,21/11/2025 12:25,Corinna,Follett,Westbrook Innovations,Active,0
53fa8520-d9c6-f011-bbd2-7c1e5203c76f,IyBHtt+AX8kfptUWVt70LKz1GMbo/Ma3eWuSxk/5ihgOcK9LwjQ0Bsh72VJB9oPwakWcUKokU5och9mFEOVoOQ==,21/11/2025 12:54,Dale,Fahey,Clearpath Consulting,Active,0
85c75dd3-c8c6-f011-bbd2-7ced8d9956d1,NazAsORp5b9DqUkNFYeXgxhbEAYzT7nKT24Jkv+3kScOXm2eP0y+TeV9ue7Pq8ssDUdO18biaq15U8N5lhK8xw==,21/11/2025 10:57,Daniel,Kelly,Summit Digital Partners,Active,0
